count,country,region,geo_id,tgn_or_wiki_label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,notes,gnd,tgn,viaf,wikidata
120,Belgien,"Namur, Provinz",,Namur,Namur province,,,Namur,provinces,"The province of Namur lies in the southeast of Belgium bounded on the north by Brabant, on the northeast by Liége, on the east by the province of Luxembourg, on the south by France, and on the west by Hainaut. The Meuse, Sambre, and Lesse Rivers cross it. Formerly its eastern part was ruled by the prince-bishops of Liège, while its northern part was the medieval county of Namur. Transferred to Hainaut in 1188, it temporarily became a marquisate in 1199, was ceded to Flanders in 1263, and then sold to the Duke of Burgundy in 1421.As part of the Burgundian Netherlands it became part of Belgium in 1830. Its land supports a wide variety of agriculture, while the Sambre and Meuse Valleys are part of the ""industrial crescent"" of southern Belgium. Tourists are drawn to resorts along the Meuse River and to medieval chateaus and abbeys throughout the province. Its area covers some 3,666 square miles in all. The 2003 estimated population was 449,100.",,http://vocab.getty.edu/tgn/7003466,,,,,,
118,Belgien,Ostflandern,20080043,Oost-Vlaanderen,East Flanders,,Ost-Flandern,"Flandre Orientale, Province de",provinces,"The northwest Belgian province of Oost-Vlaanderen was historically part of the medieval duchy of Flanders. A great textile-producing region since the Middle Ages, it continues as such, producing cotton, jute, rayon, and nylon, along with lace, linen, and some wool. Agriculturally, it produces potatoes, flax, hops, market vegetables, sugar beets, and livestock. The capital city is Ghent. One of Europe's most densely populated areas, it covers some 1,151 square miles and has a population, by a 2003 estimate, of 1,370,600.","province in Flanders, Belgium",http://vocab.getty.edu/tgn/7003457,http://www.wikidata.org/entity/Q1114,,,,,
109,Schweiz,Bern,00070506,Bern,Bern,Berna,Kanton Bern,Canton de Berne,cantons,"Comprises districts acquired by city of Bern between 14th and 16th centuries; area is drained by Aare river and its affluents; it is divided into three physical regions, the Bernese highland, the midland area including the Aare and Emme valleys, and the lake region.",canton of Switzerland,http://vocab.getty.edu/tgn/7003742,http://www.wikidata.org/entity/Q11911,,,,,
107,Schweiz,Obwalden,20913528,Obwalden,Obwalden,Canton Obvaldo,Kanton Obwalden,Canton d’Obwald,cantons,Demicanton that functions as full canton.,canton of Switzerland,http://vocab.getty.edu/tgn/7003754,http://www.wikidata.org/entity/Q12573,,,http://vocab.getty.edu/tgn/7003754,,
99,Belgien,"Limburg, Provinz (Belgien)",,Limburg,,,,"Limbourg, Province de",provinces,"Limburg is a largely Flemish-speaking province of northeastern Belgium once part of the historic county of Limburg, which was divided between The Netherlands and Belgium in 1839. It is bounded by The Netherlands on the north and east, where the Meuse River marks the frontier. Its agricultural products include wheat, sugar beets, fruit and dairy products, notably the Limburger cheese that originated there. It also produces most of Belgium's coal. Its total territory covers about 935 square miles and, by a 2003 estimate, has a population of about 800,900.",,http://vocab.getty.edu/tgn/7003461,,,,,,
96,Belgien,Westflandern,,West-Vlaanderen,West Flanders,,West-Flandern,"Flandre Occidentale, Province de",provinces,"The westernmost province of Belgium it runs inward from the North Sea, bordering the Netherlands on the east and France on the west and south. It once was part of the historic duchy of Flanders. Its southwest region was a major battleground for trench warfare during World War I and underwent great destruction, and many towns such as Ypres have been rebuilt. It is the leading agricultural province of Belgium, producing wheat, sugar beets, potatoes, tobacco and cattle. The main industries are shipbuilding, chemical production, lacemaking, and metallurgical industries. Tourism is extremely important along the coast, which features several seaside resorts, Ostend chief among them. It covers 1,214 square miles in area, and has a population, by a 2003 estimate, of 1,135,500.","province in Flanders, Belgium",http://vocab.getty.edu/tgn/7003458,http://www.wikidata.org/entity/Q1113,,,,,
86,Schweiz,Zürich,00003651,Zürich,Zurich,Zurigo,Kanton Zürich,Canton de Zurich,cantons,"Located in northeast Switzerland, made up of productive, shallow river valleys, lakes, and forests; contains land acquired by city of Zürich up to 1803; population is largely Protestant and the main language is German.",canton of Switzerland,http://vocab.getty.edu/tgn/7003765,http://www.wikidata.org/entity/Q11943,,,,,
85,Kroatien,Splitsko-Dalmatinska,,Splitsko-Dalmatinska Županija,Split-Dalmatia,Spalatino-Dalmata,Split-Dalmatien,Split-Dalmatie,counties,,,http://vocab.getty.edu/tgn/7017308,,,,,,
85,Schweiz,Solothurn,20310319,Solothurn,Canton of Solothurn,Canton Soletta,Kanton Solothurn,Canton de Soleure,cantons,,canton of Switzerland,http://vocab.getty.edu/tgn/7003758,http://www.wikidata.org/entity/Q11929,,,,,
82,Kanada,"Québec, Provinz",,Québec,Quebec,,,Province du Québec,provinces,"Originally inhabited by Algonkin, Montagnais and Cree Indians; Eskimos later settled in Hudson Bay area; region declared for France by Jacques Cartier who landed at Gaspé 1534; settlement of colony of New France commenced at present Québec City 1608.",,http://vocab.getty.edu/tgn/7005804,,,,,,
75,Frankreich,fehlt,,,,,,,,,,,,,,,,
71,Georgien,Kakheti,,K'akheti,,Cachezia,Kachetien,Kakhétie,regions,,,http://vocab.getty.edu/tgn/7594770,,,,,,
67,Schweiz,Basel-Land,20032843,Basel-Landschaft,Basle-Country,Canton Basilea Campagna,Kanton Basel-Landschaft,Canton de Bâle-Campagne,cantons,"Demicanton that functions as a full canton; formed in 19th century when Basel canton was divided into 2 demicantons, after rural part of the canton revolted in 1831.",,http://vocab.getty.edu/tgn/7003740,,,,,,
66,Deutschland,Saarland,20913606,Saarland,Saarland,Saarland,Saarland,Sarre,states,"Saarland is a state of southwestern Germany, bordered by the German state of Rhineland-Palatinate on the north and east, by Luxembourg on the west, and France on the south. Its area encompasses some 992 square miles on both sides of the Saar river. The capital is Saarbrücken. The state generally is rich in coal deposits and is known for its iron and steel industries. It was a prime producer of armaments and weaponry in World War II and thus was a major target for Allied bombing, suffering great destruction. The calculated population for 2005 was 1,061,840.",state of the Federal Republic of Germany,http://vocab.getty.edu/tgn/7003684,http://www.wikidata.org/entity/Q1201,,,http://vocab.getty.edu/tgn/7003684,,
66,Vereinigte Staaten,Maryland,20080118,Maryland,Maryland,Maryland,Maryland,Maryland,states,"Occupied by roving hunters by ca. 8000 BC, later was home to agrarian cultures; Algonquian-speakers, at war with Iroquois to N, lived here when Europeans settled in 17th cen.; fought in Revolution; state had split loyalties in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007516,http://www.wikidata.org/entity/Q1391,,,,,
64,Italien,Apulien & Puglia,00000111,Puglia,Apulia,Puglia,Apulien,Pouilles,regions,"Was home to early Apulians and Greek colonists; came under control of republican Rome by 3rd century BCE; taken by Goths, Lombards and Byzantines; was duchy under Normans in 12th century; part of Kingdom of Two Sicilies and later of Holy Roman Empire.",region of Italy,http://vocab.getty.edu/tgn/7010380,http://www.wikidata.org/entity/Q1447,,,,,
61,Belgien,Brabant (wallonisch),,Brabant,,,,,general regions,"This region constitutes the southern part of the former duchy of Brabant, and contained within the modern nation of Belgium. It is watered by the Senne, Dijle, and Demer rivers. It was occupied by Germany during World Wars I and II. In 1993, the region was split into the provinces of Flemish Brabant and Walloon Brabant. ",province of Belgium until its splitting in 1995,http://vocab.getty.edu/tgn/7003462,http://www.wikidata.org/entity/Q848831,,,,,
56,Schweiz,Sankt Gallen,00000002,Sankt Gallen,,,,,cantons,Comprises territory of abbot-princes of St. Gall; abbey was secularized in 1798; area joined Swiss Confederation in 19th century.,canton of Switzerland,http://vocab.getty.edu/tgn/7003755,http://www.wikidata.org/entity/Q12746,,https://d-nb.info/gnd/4051594-1,,,
55,Frankreich,Limousin,20913403,Limousin,,,,Limousin,former administrative divisions,"Part of Massif Central and has oceanic climate; industries are located primarily in Limoges; elsewhere farms typically specialize in animal husbandry; see also the historical region of Limousin. An administrative division, or ""region"" of France until 2016, when it was merged with the Aquitane and Poitou-Charentes regions to form the new region, ""Nouvelle-Aquitaine.""",,http://vocab.getty.edu/tgn/7001095,,,,,,
54,Polen,Brandenburg,,,,,,,,,,,,,,,,
53,Deutschland,unbekannt,,unbekannt,,,,,,,Bronze sculpture of a sitting nude in Hamburg,,http://www.wikidata.org/entity/Q131449755,,,,,
53,Schweiz,Schaffhausen,,Schaffhausen,Canton of Schaffhausen,Sciaffusa,Kanton Schaffhausen,Canton de Schaffhouse,cantons,"Small, northerly canton, virtually surrounded by Germany; dominated by plateau of Randen; comprises land acquired by city of Schaffhausen; economic activities include vine cultivation, forestry, aluminum processing and engineering works.",canton of Switzerland,http://vocab.getty.edu/tgn/7003756,http://www.wikidata.org/entity/Q12697,,,,,
48,Schweiz,Waadt,20091452,Vaud,Vaud,Canton Vaud,Kanton Waadt,Canton de Vaud,cantons,"Area has been inhabited since prehistoric times; was home to Helvetii, who were conquered by Julius Caesar; was part of Transjurane Burgandy from 888 to 1032; passed in 1536 to Bernese, who forcibly imposed the Reformation.",canton of Switzerland,http://vocab.getty.edu/tgn/7003763,http://www.wikidata.org/entity/Q12771,,,http://vocab.getty.edu/tgn/7003763,,
47,Italien,Latium & Lazio,00001541,Lazio,Latium,Lazio,Latium,Latium,regions,Region of Italy comprising a hilly area with a narrow coastal plain in central Italy. Modern adminisrative region includes a part of the territory of ancient Latium.,administrative region of Italy,http://vocab.getty.edu/tgn/7003080,http://www.wikidata.org/entity/Q1282,,,,,
47,Italien,Umbria,,Umbria,Umbria,Umbria,Umbrien,Ombrie,regions,"Was home of ancient Umbri tribes, who spoke an Indo-European dialect and were concentrated here to escape Etruscan and Gallic pressure during 1st mill. BCE; later held by Romans, Lombards and Byzantines; city-states developed; went to Papal States in the 16th century.",region of Italy,http://vocab.getty.edu/tgn/7003125,http://www.wikidata.org/entity/Q1280,,,,,
45,Italien,Abruzzen & Abruzzo,07700012,Abruzzi,Abruzzo,Abruzzi,Abruzzen,Abruzzes,regions,"Region in central Italy, the most mountainous in the Italian Apennines; populated since Paleolithic times; Roman from 304 BCE; part of Lombard duchy of Spoleto 6th-11th centuries CE; part of kingdom of Naples 1266-1860.",region in Italy,http://vocab.getty.edu/tgn/7009084,http://www.wikidata.org/entity/Q1284,,,,,
42,Polen,Heiligkreuz & Świętokrzyskie,,Świe̜tokrzyskie,Świętokrzyskie Voivodeship,Voivodato di Santacroce,Woiwodschaft Heiligkreuz,Voïvodie de Sainte-Croix,voivodeships,,,http://vocab.getty.edu/tgn/7024129,,,,,,
39,Belgien,"Luxemburg, Kanton",,Luxembourg,,,Letzeburg,Luxembourg,provinces,"The province lies in Wallonie in southeast Belgium, has an area of 1,715 square miles and is drained by three tributaries of the Meuse River: the Ourthe, Semois, and Lesse Rivers. It is bounded by the Grand Duchy of Luxembourg to the east, France to the south, and the provinces of Namur to the west and Liège to the north.75% of it lies within the Ardennes Plateau, and one-third of that is woodland. The remaining 25% constitutes the Belgian Lorraine. The province was once a part of the Grand Duchy of Luxembourg but became part of Belgium in 1831. Its northern area was heavily damaged during the Second World War, particularly during the Battle of the Bulge in 1944-1945. Its historic structures include the ruined castle at Bouillon and the restored Cistercian Abbey of Orval near Florenville. Tourism is important in the area covered by the Ardennes forest, which has two nature reserves. Agricultural products include oats, rye, wheat, potatoes, tobacco, and livestock, while mining is mostly of iron and building stone. The 2003 estimated population was 251,100.",,http://vocab.getty.edu/tgn/7003465,,,,,,
34,Georgien,Imereti,,Imereti,,Imerezia,Imeretien,Iméréthie,regions,,,http://vocab.getty.edu/tgn/7594769,,,,,,
33,Italien,Molise,00260794,Molise,Molise,Molise,,Molise,regions,Located on Adriatic Sea; conquered by Romans in 4th cen. BCE; ruled by Lombard duchy 6th-11th cen.; part of Kingdom of Naples 1266-1860.,region in Italy,http://vocab.getty.edu/tgn/7003241,http://www.wikidata.org/entity/Q1443,,,,,
33,Polen,Grenzmark Posen-Westpreußen,,,,,,,,,,,,,,,,
30,Schweiz,Neuchâtel,20310213,Neuchâtel,Neuchâtel,Neuchâtel,Kanton Neuenburg,Neuchâtel,cantons,"Area was consolidated by Rudolf III, last King of Burgundy (died 1032); passed to count Ulrich von Fenis, whose house increased the area until in 1373 it had approximately same borders as today; ruled by various noble houses until it joined Confederacy.",canton of Switzerland,http://vocab.getty.edu/tgn/7003751,http://www.wikidata.org/entity/Q12738,,,,,
30,Vereinigte Staaten,Texas,20913703,Texas,Texas,,,Texas,states,"Possibly inhabited by 35,000 BCE; later had hunting and agrarian cultures; formed loose Caddo confederacies; Spanish and French settled here 16th-18th centuries; European-Americans came in 19th century; territorial conflict with Mexico 1830s; Confederate in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007826,http://www.wikidata.org/entity/Q1439,,,,,
29,Polen,Łódź,20905104,Łódź,,,,,former administrative divisions,,,http://vocab.getty.edu/tgn/1002003,,,,,,
27,Italien,Marche,,Marche,Marches,Marche,Marken,Marches,regions,"Inhabited early by Umbri and Picentes people; colonized by Greeks, later by Romans (3rd century BCE); invaded by Goths 5th century CE; portions ruled by Byzantines and Lombards; ruled by Pope in 8th century and again from the 13th century.",region in Italy,http://vocab.getty.edu/tgn/7003240,http://www.wikidata.org/entity/Q1279,,,,,
25,Frankreich,Corse,,Corse,Corsica,Corsica,Korsika,Corse,regions,"Region is largely coextensive with the island of the same name. Area is designated as a territorial collectivity (collectivité territoriale) by law, allowing it greater powers than other French administrative regions. However, Corse is referred to as a region in common speech and is almost always listed among them. ",,http://vocab.getty.edu/tgn/7594273,,,,,,
25,Tschechien,Mähren,00001701,Morava,Moravia,,Mähren,,general regions,"Moravia is a region in the Czech Republic, bounded by Silesia on the northeast, Bohemia on the west and northwest, Austria to the south, and Slovakia on the east. It was home to Celtic Bori and Cotini peoples from the fourth century BCE.  Germanic tribes arrived in the period from the first to the fifth century CE, then the Avars in the sixth and seventh centuries, then a Slavic people called the Moravians, after the Morava River, in the late eighth century. It became an independent kingdom in the ninth century, Great Moravia, which comprised all of Bohemia, the southern part of modern Poland, and the western part of modern Hungary. Great Moravia dissolved with the death of its king Svatopluk in 894 and an overwhelming attack by the Magyars. Its lands were variously taken over by Hungary, Poland, and Bohemia. To Bohemia went Moravia proper, which was incorporated as a province in 1029. It came under the rule of the Austria Hapsburgs in 1526 together with Bohemia and Silesia. In the centuries of religious strife and rebellion that followed, Moravia was less rebellious than Bohemia and its largely Protestant population suffered less. Late in the 18th century what remained of Austrian Silesia was merged into Moravia and after 1848 it became an Austrian crown land with some autonomy. In 1918 it was joined to the new nation of Czechoslovakia. In 1949 it ceased to be a single administrative unit, being divided into several smaller provinces by the Czechoslovakian government. In 1960, the territory formerly known as Moravia and Silesia became Jihomoravsky, or South Moravia, and Severomoravsky, or North Moravia. These became part of the Czech Republic in 1993. ",historical land in the Czech Republic,http://vocab.getty.edu/tgn/7006467,http://www.wikidata.org/entity/Q43266,,,,,
25,Vereinigte Staaten,New Jersey,20913472,New Jersey,New Jersey,,,New Jersey,states,"Was summer home of Delaware (Lenni Lenape) Indians when Dutch, English, Scots-Irish and Swedes settled here in 17th cen.; Tory activity and several battles occurred in area during Revolution; sentiment was mainly pro-Union in Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007565,http://www.wikidata.org/entity/Q1408,,,,,
21,Deutschland,Sachsen & Schlesien,00002681,Sachsen,Saxony,Sassonia,Sachsen,État libre de Saxe,states,"The east central German state of Saxony consists of the southeastern portion of what was formerly the nation of East Germany. In the 1950s three East German Bezirke, or national districts, were formed of the historic Saxon region. After the reunification of Germany, all or parts of these three districts were made into the German state of Saxony. It measures some 7080 square miles in area and has a population of about 4, 278,000. Its capital is Dresden. Except for the northern portion around Leipzig, which belongs to the North European Plain, the state is mostly mountainous in terrain. It is drained by the Elbe river, which runs northwest to southeast, and the Mulde, a tributary of the Elbe. Saxony's principal mountain range is the Ore Mountains, which run for about 100 miles along its southern border. The state has rich soil and its agriculture is highly developed, grains being important throughout most of the state, while cattle are the main product in the Ore Mountains. Forestry and the mining of tin, lead, and coal are also important. The main industries are the production of textiles and of machinery used in textile production, papermaking, printing, and mining. ",state in Germany,http://vocab.getty.edu/tgn/7003685,http://www.wikidata.org/entity/Q1202,,,http://vocab.getty.edu/tgn/7003685,,
21,Italien,Toscana,,Toscana,Tuscany,Toscana,Toskana,Toscane,regions,"Area was core of ancient Etruria; conquered by Romans 4th century BCE; ruled by Lombards, then Franks; most cities became independent communes 11th-12th centuries; saw great strife between Guelphs and Ghibellines; part of grand duchy of Florence from the 16th century.",region in central Italy,http://vocab.getty.edu/tgn/7009760,http://www.wikidata.org/entity/Q1273,,,,,
21,Polen,Kujawien-Pommern,,Kujawsko-Pomorskie,Kuyavian-Pomeranian Voivodeship,Voivodato di Cuiavia-Pomerania,Woiwodschaft Kujawien-Pommern,Voïvodie de Cujavie-Poméranie,voivodeships,,,http://vocab.getty.edu/tgn/7024116,,,,,,
20,Georgien,Kartli,01200180,Kartli,,,,,,,historical region in central-to-eastern Georgia,,http://www.wikidata.org/entity/Q459875,,https://d-nb.info/gnd/4321323-6,,,
20,Kroatien,Kroatien,,,,,,,,,,,,,,,,
20,Vereinigte Staaten,Florida,20913286,Florida,Florida,,Florida,Floride,states,"On low-lying peninsula inhabited by 8,000 BCE; farming began by 500 BCE, with hunters/fishers living in N and some immigration from Cuba and Bahamas; Seminoles lived here in 19th cen.; Spanish arrived in 16th century, but major European influx came in 19th century.",state of the United States of America,http://vocab.getty.edu/tgn/7007240,http://www.wikidata.org/entity/Q812,,,,,
19,Vereinigte Staaten,Minnesota,20222581,Minnesota,Minnesota,,,Minnesota,states,"Inhabited in Pleistocene epoch (18,000 BCE); major groups were Ojibwa and Sioux when French fur traders arrived in 17th cen.; made of sections from Louisiana Purchase & NW Territory; supported Union in Civil War; homesteaded by Scandinavians in 1880s.",state of the United States of America,http://vocab.getty.edu/tgn/7007521,http://www.wikidata.org/entity/Q1527,,,,,
17,Italien,Kalabrien & Calabria,20913353,Calabria,Calabria,Calabria,Kalabrien,Calabre,regions,"Settled in prehistoric times; was powerful Greek colonial area; taken by Romans in 268 BCE, by Byzantine Empire in 9th century CE, and by Normans in the 11th century; was center of Italian republicanism and united to Kingdom of Italy 1860.",region of Italy,http://vocab.getty.edu/tgn/7007850,http://www.wikidata.org/entity/Q1458,,,,,
16,Großbritannien,Schottland,00261108,Scotland,Scotland,Scozia,Schottland,Ecosse,countries,"Area was inhabited by 3rd millenium BCE; Rome invaded, but never subdued native Picts; invaded by Scots from Ireland in the 6th century CE; Picts and Scots united in 844; invaded by Norsemen beginning in the 8th century; first linked with English monarchy in 12th century; 16th century marked by religious turmoil; Crowns of Scotland and England united in 1603, parliaments in 1707; significant percentage still read or speak Scottish Gaelic language.","country in north-west Europe, part of the United Kingdom",http://vocab.getty.edu/tgn/7002444,http://www.wikidata.org/entity/Q22,,,,,
15,Schweiz,Glarus,00260301,Glarus,Canton of Glarus,Canton Glarona,Kanton Glarus,Canton de Glaris,cantons,,,http://vocab.getty.edu/tgn/7003747,,,,,,
14,Georgien,Kvemo Kartli,,Kvemo Kartli,,,Niederkartlien,,regions,,,http://vocab.getty.edu/tgn/7594771,,,,,,
14,Vereinigte Staaten,Missouri,20913441,Missouri,Missouri,,,Missouri,states,"Inhabited by Osage and Missouri Indians when French arrived in 17th cen.; area went to Spain in 1762, back to France and then sold to USA in Louisiana Purchase of 1803; was a slave state, but did not secede from the Union in the Civil War.",state of the United States of America,http://vocab.getty.edu/tgn/7007523,http://www.wikidata.org/entity/Q1581,,,,,
13,Schweiz,Schwyz,20310305,Schwyz,Schwyz,Canton Svitto,Kanton Schwyz,Canton de Schwyz,cantons,"Area joined Uri, Unterwalden and Lucerne in a pact to form the Four Forest Cantons, which became the foundation of Swiss independence; the name of this canton in the document is the source of the name of the nation, ""Schweiz""; population is mainly Catholic.",,http://vocab.getty.edu/tgn/7003757,,,,,,
11,Georgien,Samtskhe-Javakheti,,Samtskhe-Javakheti,,,Samzche-Dschawachetien,Samtskhé-Djavakhétie,regions,,,http://vocab.getty.edu/tgn/7594776,,,,,,
11,Schweiz,Uri,20913728,Uri,Uri,Canton Uri,Kanton Uri,Canton d’Uri,cantons,Area was given to the convent at Zürich in 853; privileges were granted by the Holy Roman Emperor in 13th century; with Unterwalden and Schwyz if formed the nucleus of the Swiss federation in 1291; rejected the Reformation in 16th century.,,http://vocab.getty.edu/tgn/7003761,,,,,,
