count,value,AAT Label,exactMatch,URI,Work Sample
39,architettura,"architecture (object genre) [en]
Architektur (Objektgattung) [de]
",http://vocab.getty.edu/aat/300263552,https://artresearch.net/resource/zeri/vocabulary/architettura,https://artresearch.net/resource/zeri/work/79256
958,arti applicate,"decorative arts (discipline) [en]
angewandte Kunst [de]
arti applicate [it]",http://vocab.getty.edu/aat/300054168,https://artresearch.net/resource/zeri/vocabulary/arti_applicate,https://artresearch.net/resource/zeri/work/84592
74982,dipinto,"paintings (visual works) [en]
Gemälde [de]
",http://vocab.getty.edu/aat/300033618,https://artresearch.net/resource/zeri/vocabulary/dipinto,https://artresearch.net/resource/zeri/work/20117
364,disegno,"gargoyles [en]
gotischer Wasserspeier [de]
",http://vocab.getty.edu/aat/300002330,https://artresearch.net/resource/zeri/vocabulary/disegno,https://artresearch.net/resource/zeri/work/29734
568,grafica,"graphic arts [en]
graphische Künste [de]
arti grafiche [it]",http://vocab.getty.edu/aat/300264849,https://artresearch.net/resource/zeri/vocabulary/grafica,https://artresearch.net/resource/zeri/work/40813
3,manoscritto,"manuscripts (documents) [en]
Manuskript (Dokumentengattung) [de]
",http://vocab.getty.edu/aat/300028569,https://artresearch.net/resource/zeri/vocabulary/manoscritto,https://artresearch.net/resource/zeri/work/48823
29,miniatura,"miniatures (paintings) [en]
Miniatur (painting) [de]
miniatura (pittura) [it]",http://vocab.getty.edu/aat/300033936,https://artresearch.net/resource/zeri/vocabulary/miniatura,https://artresearch.net/resource/zeri/work/35821
383,mosaico,"mosaics (visual works) [en]
Mosaik (visuelles Werk) [de]
mosaico [it]",http://vocab.getty.edu/aat/300015342,https://artresearch.net/resource/zeri/vocabulary/mosaico,https://artresearch.net/resource/zeri/work/1708
6212,scultura,"sculpture (visual works) [en]
Skulptur (visuelles Werk) [de]
scultura [it]",http://vocab.getty.edu/aat/300047090,https://artresearch.net/resource/zeri/vocabulary/scultura,https://artresearch.net/resource/zeri/work/77582